id,name,latitude,longitude,phone,distance
266740082,Swamy Hospital,12.8550625,77.6642727,Phone number not available,15.0761474
267214379,Clinic,12.9134182,77.6774852,Phone number not available,11.16826838
303924572,Shanti Hospital,12.9235041,77.5857517,Phone number not available,5.449875338
307401529,Apollo Hospital,12.9263714,77.6765455,-40222544,10.30674925
308866071,Narayana Hrudayalaya Dental Clinic,12.9155759,77.6349897,Phone number not available,7.697151737
310393723,Dr Ganesh Medical and Diabetic Clinic,12.9129006,77.6419101,Phone number not available,8.386598787
364629422,JBS Hospital,12.9207173,77.5745968,Phone number not available,6.056076255
389493285,Government Hospital,12.7289287,77.8253132,Phone number not available,36.88356359
443612463,Sri Vijayalakshmi Pragathi Hospital,13.0371728,77.6409543,Phone number not available,8.881986412
454142398,Sathya Hospital,13.0185503,77.6364728,Phone number not available,6.955907795
459464857,Ramakrishna Hospital,12.8500655,77.6624706,9.18041E+11,15.46246446
519549595,Chord Road Hospital Pvt Ltd,12.9981215,77.5404836,+91-80-23225858;+91-80-23225868;+91-80-23225878,6.461343775
530353033,Pristline Hospital,12.9978931,77.5436127,+91-80-41354444;+91-80-51270776,6.148706403
582384953,"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",12.9376734,77.5802836,Phone number not available,4.074066745
625856709,Manipal Northside Hospital,13.0011275,77.5639285,080 2222 1111,4.579056228
663604723,Government Hospital (primary Health Centre),12.9503234,77.6162619,Phone number not available,3.42541983
665727326,Divakars speciality Hospital,12.9100629,77.5924585,Phone number not available,6.877287967
671185206,Hema Poly Clinic,12.960765,77.7137961,Phone number not available,13.07234414
671185798,Ayug's Health Care,12.9653074,77.7157312,Phone number not available,13.24344601
691930445,BMTC Hospital,12.9234317,77.5923374,Phone number not available,5.391451538
769216417,Ramakrishna Nursing Home and Hospital,12.9364329,77.583477,Phone number not available,4.096402072
954623054,Sri Vinayaka Poly Clinic,12.939058,77.5510802,080 2672 8455,5.887815325
966863252,RMV Hospital,13.0322788,77.576876,Phone number not available,6.956856971
975680681,Yashomathi Hospitals,12.9559302,77.7112689,Phone number not available,12.86301583
